Filter	Peak	Avg	AF	Time
dB-A	73.77	74.85	586	2022/7/11 16:11:56
dB-A	76.82	74.89	279	2022/7/11 16:11:56
dB-A	76.97	74.93	236	2022/7/11 16:11:56
dB-A	76.71	74.98	726	2022/7/11 16:11:57
dB-A	78.24	75.36	253	2022/7/11 16:11:57
dB-A	75.52	75.54	253	2022/7/11 16:11:57
dB-A	76.51	75.59	290	2022/7/11 16:11:57
dB-A	77.77	76.01	231	2022/7/11 16:11:57
dB-A	76.19	76.15	263	2022/7/11 16:11:57
dB-A	77.82	76.63	366	2022/7/11 16:11:57
dB-A	75.33	76.79	446	2022/7/11 16:11:57
dB-A	77.02	76.81	1609	2022/7/11 16:11:57
dB-A	78.19	76.93	1905	2022/7/11 16:11:57
dB-A	75.85	76.84	355	2022/7/11 16:11:57
dB-A	75.18	76.54	269	2022/7/11 16:11:58
dB-A	75.64	76.55	689	2022/7/11 16:11:58
dB-A	79.28	76.83	1975	2022/7/11 16:11:58
dB-A	76.40	76.69	2056	2022/7/11 16:11:58
dB-A	77.59	76.83	640	2022/7/11 16:11:58
dB-A	78.19	76.87	1647	2022/7/11 16:11:58
dB-A	75.20	76.85	290	2022/7/11 16:11:58
dB-A	75.14	76.67	672	2022/7/11 16:11:58
dB-A	79.48	76.80	285	2022/7/11 16:11:58
dB-A	79.48	77.16	2793	2022/7/11 16:11:58
dB-A	77.58	77.40	1986	2022/7/11 16:11:58
dB-A	80.40	77.88	1884	2022/7/11 16:11:59
dB-A	81.50	78.10	1927	2022/7/11 16:11:59
dB-A	77.99	78.26	1771	2022/7/11 16:11:59
dB-A	80.67	78.56	274	2022/7/11 16:11:59
dB-A	77.33	78.48	1636	2022/7/11 16:11:59
dB-A	80.95	79.05	1765	2022/7/11 16:11:59
dB-A	77.99	79.34	247	2022/7/11 16:11:59
dB-A	81.78	79.57	570	2022/7/11 16:11:59
dB-A	80.92	79.71	1862	2022/7/11 16:11:59
dB-A	78.15	79.77	570	2022/7/11 16:11:59
dB-A	82.69	80.00	1701	2022/7/11 16:11:59
dB-A	83.67	80.21	1674	2022/7/11 16:12:00
dB-A	79.28	80.34	1754	2022/7/11 16:12:00
dB-A	82.91	80.57	1841	2022/7/11 16:12:00
dB-A	82.37	81.07	2126	2022/7/11 16:12:00
dB-A	79.22	80.90	640	2022/7/11 16:12:00
dB-A	77.86	80.89	543	2022/7/11 16:12:00
dB-A	79.63	80.67	662	2022/7/11 16:12:00
dB-A	76.05	80.18	1674	2022/7/11 16:12:00
dB-A	77.06	80.08	1545	2022/7/11 16:12:00
dB-A	77.38	79.54	398	2022/7/11 16:12:00
dB-A	77.61	78.94	274	2022/7/11 16:12:01
dB-A	77.51	78.76	279	2022/7/11 16:12:01
dB-A	77.90	78.26	683	2022/7/11 16:12:01
dB-A	78.65	77.89	290	2022/7/11 16:12:01
dB-A	74.85	77.45	274	2022/7/11 16:12:01
dB-A	73.16	76.98	290	2022/7/11 16:12:01
dB-A	72.87	76.30	258	2022/7/11 16:12:01
dB-A	76.08	76.31	274	2022/7/11 16:12:01
dB-A	77.55	76.36	263	2022/7/11 16:12:01
